# Modes from peak histogram of pac_topo.txt as function of histogram widths
# width mode count
327 -5182.5 2352
328 -5180 2346
329 -5177.5 2342
330 -5175 2333
331 -5172.5 2302
332 -5170 2290
333 -5167.5 2285
334 -5499 2281
335 -5497.5 2310
336 -5496 2323
337 -5494.5 2348
338 -5493 2375
339 -5491.5 2413
340 -5490 2436
341 -5488.5 2471
342 -5487 2493
343 -5485.5 2524
344 -5484 2542
345 -5482.5 2577
346 -5481 2584
347 -5479.5 2594
348 -5478 2609
349 -5476.5 2626
350 -5475 2645
351 -5473.5 2663
352 -5472 2676
353 -5470.5 2696
354 -5469 2710
355 -5467.5 2723
356 -5466 2739
357 -5464.5 2754
358 -5463 2767
359 -5461.5 2778
360 -5460 2787
361 -5458.5 2798
362 -5457 2808
363 -5455.5 2812
364 -5454 2821
365 -5452.5 2825
366 -5451 2834
367 -5449.5 2848
368 -5448 2857
369 -5446.5 2859
370 -5445 2874
371 -5443.5 2878
372 -5442 2886
373 -5440.5 2895
374 -5439 2906
375 -5437.5 2927
376 -5436 2943
377 -5434.5 2955
378 -5433 2970
379 -5431.5 2972
380 -5430 2979
381 -5428.5 2999
382 -5427 3012
383 -5425.5 3028
384 -5424 3037
385 -5422.5 3053
386 -5421 3067
387 -5419.5 3074
388 -5418 3078
389 -5416.5 3086
390 -5415 3092
391 -5413.5 3105
392 -5412 3113
393 -5410.5 3122
394 -5409 3124
395 -5407.5 3127
396 -5406 3141
397 -5404.5 3138
398 -5403 3140
399 -5401.5 3137
400 -5400 3136
401 -5398.5 3140
402 -5397 3146
403 -5395.5 3148
404 -5394 3152
405 -5392.5 3155
406 -5391 3159
407 -5389.5 3159
408 -5388 3162
409 -5386.5 3173
410 -5385 3174
411 -5383.5 3176
412 -5382 3184
413 -5380.5 3180
414 -5379 3176
415 -5377.5 3178
416 -5376 3183
417 -5374.5 3186
418 -5373 3197
419 -5371.5 3191
420 -5370 3191
421 -5368.5 3192
422 -5367 3186
423 -5365.5 3183
424 -5364 3183
425 -5362.5 3178
426 -5361 3182
427 -5359.5 3182
428 -5358 3184
429 -5356.5 3187
430 -5355 3186
431 -5353.5 3191
432 -5352 3199
433 -5350.5 3187
434 -5349 3191
435 -5347.5 3194
436 -5346 3193
437 -5344.5 3190
438 -5343 3190
439 -5341.5 3195
440 -5340 3199
441 -5338.5 3195
442 -5337 3200
443 -5335.5 3197
444 -5334 3193
445 -5332.5 3192
446 -5331 3194
447 -5329.5 3192
448 -5328 3194
449 -5326.5 3198
450 -5325 3201
451 -5323.5 3202
452 -5322 3202
453 -5320.5 3200
454 -5319 3211
455 -5317.5 3214
456 -5316 3219
457 -5314.5 3217
458 -5313 3219
459 -5311.5 3219
460 -5310 3225
461 -5308.5 3230
462 -5307 3232
463 -5305.5 3236
464 -5304 3243
465 -5302.5 3259
466 -5301 3265
467 -5299.5 3260
468 -5298 3264
469 -5296.5 3265
470 -5295 3264
471 -5293.5 3262
472 -5292 3268
473 -5290.5 3264
474 -5289 3265
475 -5287.5 3270
476 -5286 3278
477 -5284.5 3280
478 -5283 3289
479 -5281.5 3283
480 -5280 3288
481 -5278.5 3282
482 -5277 3288
483 -5275.5 3298
484 -5274 3306
485 -5272.5 3310
486 -5271 3310
487 -5269.5 3315
488 -5268 3324
489 -5266.5 3329
490 -5265 3340
491 -5263.5 3335
492 -5262 3337
493 -5260.5 3342
494 -5259 3349
495 -5257.5 3357
496 -5256 3360
497 -5254.5 3364
498 -5253 3363
499 -5251.5 3362
500 -5250 3359
