# $Id: v1711.txt 8 2012-02-27 20:41:48Z pwessel $
# Section of lon, lat, depth from Vema 1711 off Argentina
298.95424	-45.13093	287.666	-111.0
298.93517	-45.12423	285.995	-109.0
298.91611	-45.11754	284.324	-111.0
298.89068	-45.10861	282.096	-109.0
298.85890	-45.09746	279.31	-109.0
298.81123	-45.08072	275.131	-109.0
298.77945	-45.06956	272.344	-107.0
298.70031	-45.04135	265.333	-107.0
298.66678	-45.01849	260.582	-105.0
298.64761	-45.01164	258.893	-107.0
298.60925	-44.99794	255.514	-103.0
298.57090	-44.98424	252.135	-105.0
298.54213	-44.97397	249.6	-107.0
298.52295	-44.96712	247.91	-103.0
298.47501	-44.95000	243.685	-105.0
298.42546	-44.93227	239.315	-103.0
298.37591	-44.91454	234.944	-101.0
298.32637	-44.89681	230.573	-101.0
298.29334	-44.88517	227.638	-101.0
298.19443	-44.85962	218.347	-99.0
297.98249	-44.79096	199.971	-98.0
297.82001	-44.74393	185.248	-98.0
297.65667	-44.69291	170.458	-98.0
297.45667	-44.62506	152.932	-98.0
297.33420	-44.61595	141.597	-98.0
297.15535	-44.60205	126.941	-98.0
296.95009	-44.58551	110.584	-98.0
296.88655	-44.58162	104.704	-98.0
296.68700	-44.56515	88.771	-96.0
296.48395	-44.54836	72.575	-94.0
296.44334	-44.54585	69.24	-92.0
296.41004	-44.53786	66.314	-92.0
296.31059	-44.53079	58.392	-90.0
296.21113	-44.52373	50.469	-88.0
296.11167	-44.51666	42.545	-86.0
296.01334	-44.51167	34.728	-86.0
295.97031	-44.51078	30.699	-84.0
295.86275	-44.49607	22.013	-84.0
295.75519	-44.48137	13.325	-83.0
295.64762	-44.46666	4.635	-81.0
295.59026	-44.45882	0	-83.0
