# Average histogram peak vs width by running pshistogram with and without -F.
# This averages out most of the phase amplitude so that filtering sort of works
# Need to redo with determining the phase that maximizes the peak instead.
247	-5320.75	2060.5
248	-5318	2066
249	-5315.25	2073
250	-5312.5	2083
251	-5309.75	2091
252	-5307	2101
253	-5304.25	2110.5
254	-5301.5	2117.5
255	-5298.75	2121.5
256	-5296	2125.5
257	-5293.25	2130.5
258	-5290.5	2128
259	-5287.75	2129.5
260	-5285	2126
261	-5282.25	2124.5
262	-5279.5	2120
263	-5276.75	2119.5
264	-5274	2114
265	-5271.25	2108.5
266	-5268.5	2105.5
267	-5265.75	2107.5
268	-5263	2116
269	-5260.25	2123.5
270	-5257.5	2137
271	-5254.75	2131.5
272	-5252	2131.5
273	-5249.25	2143.5
274	-5246.5	2148
275	-5243.75	2151.5
276	-5241	2141.5
277	-5238.25	2131.5
278	-5235.5	2133
279	-5372.25	2147
280	-5370	2164
281	-5367.75	2176.5
282	-5365.5	2196
283	-5363.25	2215.5
284	-5361	2223.5
285	-5358.75	2244.5
286	-5356.5	2263
287	-5354.25	2273.5
288	-5352	2295
289	-5349.75	2301.5
290	-5347.5	2318
291	-5345.25	2331
292	-5343	2348.5
293	-5340.75	2359
294	-5338.5	2374
295	-5336.25	2379.5
296	-5334	2384
297	-5331.75	2396.5
298	-5329.5	2402.5
299	-5327.25	2411.5
300	-5325	2413
301	-5322.75	2423.5
302	-5320.5	2424.5
303	-5318.25	2428.5
304	-5316	2428.5
305	-5313.75	2429
306	-5311.5	2431.5
307	-5309.25	2436
308	-5307	2444.5
309	-5304.75	2439.5
310	-5302.5	2441.5
311	-5300.25	2450.5
312	-5298	2452.5
313	-5295.75	2465.5
314	-5293.5	2465
315	-5291.25	2469.5
316	-5289	2475
317	-5286.75	2469
318	-5284.5	2475
319	-5282.25	2481
320	-5280	2486
321	-5277.75	2489.5
322	-5275.5	2488.5
323	-5273.25	2489.5
324	-5271	2494.5
325	-5268.75	2491
326	-5266.5	2489.5
327	-5264.25	2489.5
328	-5262	2485.5
329	-5259.75	2481.5
330	-5257.5	2478
331	-5255.25	2459
332	-5253	2452
333	-5250.75	2446
334	-5415.5	2443
335	-5413.75	2456
336	-5412	2462
337	-5410.25	2480.5
338	-5408.5	2493.5
339	-5406.75	2511
340	-5405	2523
341	-5403.25	2546
342	-5401.5	2558.5
343	-5399.75	2578.5
344	-5398	2584.5
345	-5396.25	2602.5
346	-5394.5	2607.5
347	-5392.75	2616.5
348	-5391	2627
349	-5389.25	2642.5
350	-5387.5	2653.5
351	-5385.75	2662.5
352	-5384	2666
353	-5382.25	2675.5
354	-5380.5	2682.5
355	-5378.75	2685
356	-5377	2695
357	-5375.25	2707.5
358	-5373.5	2719
359	-5371.75	2728
360	-5370	2740
361	-5368.25	2744
362	-5366.5	2755.5
363	-5364.75	2760.5
364	-5363	2767.5
365	-5361.25	2775.5
366	-5359.5	2783.5
367	-5357.75	2793.5
368	-5356	2799
369	-5354.25	2801
370	-5352.5	2808.5
371	-5350.75	2810.5
372	-5349	2816
373	-5347.25	2823
374	-5345.5	2829
375	-5343.75	2839
376	-5342	2852.5
377	-5340.25	2859
378	-5338.5	2867
379	-5336.75	2874.5
380	-5335	2880
381	-5333.25	2888.5
382	-5331.5	2892.5
383	-5329.75	2900
384	-5328	2905
385	-5326.25	2912
386	-5324.5	2917.5
387	-5322.75	2922
388	-5321	2926
389	-5319.25	2934
390	-5317.5	2933
391	-5315.75	2939
392	-5314	2940
393	-5312.25	2941
394	-5310.5	2942.5
395	-5308.75	2945
396	-5307	2948.5
397	-5305.25	2946
398	-5303.5	2946
399	-5301.75	2943
400	-5300	2941
401	-5298.25	2940
402	-5296.5	2944.5
403	-5294.75	2946
404	-5293	2949
405	-5291.25	2950.5
406	-5289.5	2952.5
407	-5287.75	2952
408	-5286	2954
409	-5284.25	2959.5
410	-5282.5	2956
411	-5280.75	2956.5
412	-5279	2965
413	-5277.25	2956
414	-5482.5	2953
415	-5481.25	2965.5
416	-5480	2973
417	-5478.75	2983.5
418	-5477.5	3000.5
419	-5476.25	3007.5
420	-5475	3015.5
