0	0.2	0.2
56	0.375	0.05
105	0.43	0.07
182	0.75	0.04
221	1.32	0.04
256 	1.76	0.25
283	1.90	0.06
339	2.6	0.1
374	3.7	0.1
516	5.1	0.2
565	4.89	0.11
600	4.0	0.2
780	7.2	0.3
913	9.2	0.8
1058	10.3	0.7
1256	13.0	0.6
1442	12.3	1.0
1818	19.9	0.3
1841	26.6	2.7
2281	20.6	0.5
2432	27.7	0.6
2835	27.4	2.5
3190	38.7	1.9
