#(m)z	t(yr)	dT(C)
2849	255620	-6.39
2850	255844	-6.43
2851	256068	-6.36
2852	256294	-6.69
2853	256525	-6.95
2854	256759	-6.93
2855	256994	-7.13
2856	257234	-7.42
2857	257479	-7.58
2858	257726	-7.70
2859	257975	-7.85
2860	258224	-7.50
2861	258471	-7.67
2862	258723	-8.01
2863	258978	-7.98
2864	259235	-8.09
2865	259492	-8.05
2866	259750	-7.99
2867	260009	-8.30
2868	260272	-8.31
2869	260536	-8.26
2870	260801	-8.52
2871	261069	-8.43
2872	261336	-8.43
2873	261602	-8.19
2874	261865	-8.16
2875	262131	-8.42
2876	262399	-8.30
2877	262665	-8.21
2878	262933	-8.42
2879	263201	-8.13
2880	263466	-8.08
2881	263732	-8.30
2882	264004	-8.53
2883	264273	-7.93
2884	264533	-7.52
2885	264792	-7.86
2886	265055	-7.85
2887	265321	-8.13
2888	265595	-8.57
2889	265865	-7.78
2890	266123	-7.18
2891	266380	-7.61
2892	266643	-7.75
2893	266905	-7.54
2894	267167	-7.66
2895	267431	-7.65
2896	267692	-7.28
2897	267946	-6.86
2898	268194	-6.59
2899	268435	-5.96
2900	268677	-6.61
2901	268926	-6.77
2902	269178	-6.84
2903	269429	-6.65
2904	269678	-6.59
2905	269926	-6.47
2906	270169	-5.95
2907	270409	-6.00
2908	270648	-5.80
2909	270883	-5.44
2910	271114	-5.30
2911	271347	-5.65
2912	271584	-5.74
2913	271822	-5.65
2914	272053	-4.80
2915	272276	-4.60
2916	272500	-4.90
2917	272724	-4.65
2918	272946	-4.43
2919	273166	-4.35
2920	273385	-4.33
2921	273605	-4.33
2922	273827	-4.55
2923	274048	-4.10
2924	274263	-3.84
2925	274477	-3.80
2926	274692	-3.95
2927	274909	-3.95
2928	275127	-4.13
2929	275344	-3.73
2930	275559	-3.71
2931	275772	-3.53
2932	275983	-3.38
2933	276195	-3.48
2934	276409	-3.62
2935	276622	-3.35
2936	276830	-2.88
2937	277036	-3.01
2938	277246	-3.33
2939	277460	-3.61
2940	277680	-3.95
2941	277903	-4.00
2942	278130	-4.44
2943	278361	-4.46
2944	278593	-4.44
2945	278825	-4.43
2946	279057	-4.44
2947	279292	-4.67
2948	279533	-5.10
2949	279781	-5.49
2950	280038	-6.17
2951	280303	-6.18
2952	280564	-5.69
2953	280817	-5.30
2954	281071	-5.66
2955	281332	-6.11
2956	281602	-6.50
2957	281875	-6.39
2958	282143	-5.96
2959	282405	-5.67
2960	282661	-5.15
2961	282910	-4.85
2962	283160	-5.22
2963	283417	-5.55
2964	283677	-5.54
2965	283941	-5.95
2966	284218	-6.83
2967	284508	-7.27
2968	284804	-7.30
2969	285102	-7.45
2970	285398	-6.99
2971	285686	-6.57
2972	285968	-6.40
2973	286248	-6.27
2974	286525	-6.10
2975	286802	-6.15
2976	287079	-5.96
2977	287351	-5.62
2978	287617	-5.28
2979	287879	-5.09
2980	288145	-5.68
2981	288418	-5.80
2982	288698	-6.34
2983	288986	-6.50
2984	289271	-6.06
2985	289549	-5.67
2986	289823	-5.56
2987	290100	-6.00
2988	290382	-6.00
2989	290660	-5.39
2990	290929	-5.15
2991	291193	-4.65
2992	291455	-4.93
2993	291721	-5.07
2994	291986	-4.62
2995	292242	-4.13
2996	292490	-3.52
2997	292732	-3.46
2998	292976	-3.67
2999	293232	-4.76
3000	293502	-5.22
3001	293779	-5.34
3002	294060	-5.60
3003	294348	-6.06
3004	294637	-5.56
3005	294919	-5.34
3006	295198	-5.13
3007	295474	-4.96
3008	295749	-4.94
3009	296020	-4.57
3010	296289	-4.53
3011	296562	-5.04
3012	296840	-4.92
3013	297116	-4.81
3014	297393	-4.90
3015	297669	-4.70
3016	297943	-4.57
3017	298215	-4.48
3018	298485	-4.20
3019	298749	-3.81
3020	299012	-4.04
3021	299275	-3.69
3022	299533	-3.45
3023	299788	-3.19
3024	300039	-3.08
3025	300293	-3.26
3026	300547	-3.13
3027	300799	-2.97
3028	301052	-3.17
3029	301305	-2.92
3030	301560	-3.32
3031	301813	-2.52
3032	302061	-2.76
3033	302320	-3.64
3034	302583	-3.19
3035	302834	-2.28
3036	303077	-2.04
3037	303316	-1.74
3038	303558	-2.34
3039	303810	-2.88
3040	304068	-3.03
3041	304333	-3.46
3042	304606	-3.88
3043	304886	-4.13
3044	305171	-4.32
3045	305463	-4.82
3046	305764	-5.14
3047	306073	-5.42
3048	306386	-5.54
3049	306698	-5.14
3050	307005	-5.09
3051	307309	-4.72
3052	307608	-4.58
3053	307908	-4.69
3054	308206	-4.41
3055	308500	-4.09
3056	308789	-3.95
3057	309077	-3.86
3058	309365	-3.83
3059	309651	-3.69
3060	309934	-3.39
3061	310215	-3.32
3062	310493	-3.06
3063	310766	-2.78
3064	311035	-2.54
3065	311302	-2.39
3066	311568	-2.33
3067	311832	-2.22
3068	312099	-2.45
3069	312367	-2.35
3070	312634	-2.29
3071	312899	-1.92
3072	313159	-1.79
3073	313418	-1.61
3074	313674	-1.34
3075	313928	-1.38
3076	314183	-1.36
3077	314438	-1.32
3078	314692	-1.10
3079	314943	-0.99
3080	315194	-0.97
3081	315443	-0.64
3082	315689	-0.48
3083	315934	-0.46
3084	316179	-0.51
3085	316424	-0.18
3086	316666	-0.18
3087	316910	-0.33
3088	317155	-0.20
3089	317401	-0.39
3090	317649	-0.42
3091	317897	-0.14
3092	318141	-0.03
3093	318385	0.02
3094	318628	0.20
3095	318872	0.01
3096	319118	0.02
3097	319364	0.16
3098	319608	0.24
3099	319853	0.15
3100	320102	-0.12
3101	320354	-0.18
3102	320607	-0.09
3103	320856	0.38
3104	321095	1.14
3105	321329	1.26
3106	321559	1.66
3107	321783	2.18
3108	322000	2.65
3109	322214	2.85
3110	322426	2.82
3111	322638	3.19
3112	322847	3.18
3113	323057	3.08
3114	323269	3.08
3115	323482	3.14
3116	323695	2.99
3117	323911	2.84
3118	324129	2.86
3119	324349	2.65
3120	324574	2.34
3121	324804	2.00
3122	325039	1.74
3123	325278	1.59
3124	325527	0.68
3125	325789	0.05
3126	326061	-0.25
3127	326342	-0.96
3128	326639	-1.73
3129	326952	-2.39
3130	327273	-2.41
3131	327597	-2.55
3132	327924	-2.64
3133	328258	-3.03
3134	328602	-3.41
3135	328955	-3.68
3136	329318	-4.21
3137	329694	-4.56
3138	330081	-4.90
3139	330476	-5.11
3140	330883	-5.67
3141	331300	-5.76
3142	331725	-6.06
3143	332164	-6.63
3144	332624	-7.30
3145	333106	-7.86
3146	333602	-8.04
3147	334101	-7.94
3148	334600	-7.93
3149	335100	-7.87
3150	335595	-7.58
3151	336081	-7.28
3152	336567	-7.43
3153	337055	-7.30
3154	337544	-7.42
3155	338033	-7.16
3156	338521	-7.30
3157	339015	-7.40
3158	339505	-6.98
3159	339993	-7.13
3160	340490	-7.44
3161	340984	-6.88
3162	341462	-6.31
3163	341930	-6.26
3164	342401	-6.32
3165	342879	-6.59
3166	343364	-6.64
3167	343853	-6.76
3168	344348	-6.84
3169	344839	-6.43
3170	345327	-6.58
3171	345821	-6.65
3172	346319	-6.76
3173	346823	-6.84
3174	347330	-6.83
3175	347841	-6.92
3176	348357	-7.05
3177	348877	-7.02
3178	349404	-7.32
3179	349945	-7.61
3180	350493	-7.64
3181	351044	-7.64
3182	351596	-7.57
3183	352150	-7.64
3184	352710	-7.77
3185	353273	-7.71
3186	353838	-7.71
3187	354400	-7.46
3188	354958	-7.41
3189	355512	-7.13
3190	356060	-6.94
3191	356612	-7.24
3192	357167	-7.01
3193	357712	-6.58
3194	358247	-6.39
3195	358786	-6.64
3196	359327	-6.41
3197	359855	-5.80
3198	360376	-5.89
3199	360904	-6.05
3200	361440	-6.24
3201	361973	-5.79
3202	362503	-5.90
3203	363042	-6.20
3204	363580	-5.72
3205	364114	-5.84
3206	364659	-6.21
3207	365208	-5.88
3208	365743	-5.40
3209	366267	-5.13
3210	366784	-4.84
3211	367297	-4.86
3212	367816	-4.97
3213	368329	-4.46
3214	368829	-4.03
3215	369331	-4.54
3216	369858	-5.23
3217	370403	-5.42
3218	370960	-5.74
3219	371545	-6.67
3220	372149	-6.58
3221	372746	-6.15
3222	373331	-5.90
3223	373909	-5.66
3224	374478	-5.33
3225	375042	-5.26
3226	375604	-5.08
3227	376155	-4.55
3228	376690	-4.07
3229	377204	-3.27
3230	377702	-2.99
3231	378210	-3.72
3232	378743	-4.29
3233	379297	-4.63
3234	379864	-4.88
3235	380435	-4.68
3236	380997	-4.32
3237	381551	-4.05
3238	382095	-3.72
3239	382622	-2.92
3240	383134	-2.72
3241	383641	-2.50
3242	384159	-3.24
3243	384710	-4.10
3244	385288	-4.54
3245	385894	-5.36
3246	386528	-5.65
3247	387167	-5.46
3248	387804	-5.40
3249	388435	-5.02
3250	389061	-5.07
3251	389700	-5.44
3252	390349	-5.34
3253	390999	-5.36
3254	391658	-5.60
3255	392317	-5.17
3256	392972	-5.31
3257	393636	-5.40
3258	394297	-5.02
3259	394935	-4.23
3260	395543	-3.43
3261	396126	-2.80
3262	396694	-2.54
3263	397253	-2.20
3264	397808	-2.13
3265	398361	-1.92
3266	398909	-1.68
3267	399455	-1.65
3268	400003	-1.64
3269	400553	-1.58
3270	401097	-1.17
3271	401636	-1.09
3272	402179	-1.26
3273	402728	-1.23
3274	403276	-1.01
3275	403815	-0.58
3276	404346	-0.37
3277	404874	-0.28
3278	405401	-0.10
3279	405923	0.18
3280	406441	0.31
3281	406957	0.49
3282	407469	0.71
3283	407977	0.85
3284	408485	0.94
3285	408992	1.12
3286	409496	1.28
3287	409995	1.64
3288	410483	2.13
3289	410979	1.27
3290	411492	1.34
3291	412009	1.23
3292	412533	1.15
3293	413062	1.08
3294	413601	0.80
3295	414147	0.85
3296	414692	1.07
3297	415235	1.16
3298	415781	1.13
3299	416327	1.32
3300	416872	1.36
3301	417419	1.43
3302	417969	1.40
3303	418526	1.27
3304	419095	0.94
3305	419682	0.51
3306	420281	0.54
3307	420888	0.32
3308	421507	0.15
3309	422135	0.08
3310	422766	0.23
